error_family,classification,seed,split,prompt,expected_or_base,observed,initial_route_probability,minimum_route_probability
latent_arithmetic,initial_router_underactivation,601,ood_long,"Calculate exactly. Return only the decimal digits.
42273260569+36983559611=",79256820180,"To calculate the sum of the two decimal180digits:';
decimal",0.3331219255924225,0.3331219255924225
latent_arithmetic,initial_router_underactivation,601,ood_long,"Calculate exactly. Return only the decimal digits.
41093875635+75160016419=",116253892054,To16253892054,0.08405507355928421,0.08405507355928421
latent_arithmetic,initial_router_underactivation,601,ood_long,"Calculate exactly. Return only the decimal digits.
2355129682+86540363737=",88895493419,"To calculate the sum of four numbers3419 ,- ,- ,-",0.25545939803123474,0.25545939803123474
latent_arithmetic,initial_router_underactivation,601,ood_long,"Calculate exactly. Return only the decimal digits.
38357336722+53463832557=",91821169279,To1821169279,0.035808224231004715,0.035808224231004715
latent_arithmetic,initial_router_underactivation,601,ood_long,"Calculate exactly. Return only the decimal digits.
2155628393+712023823383=",714179451776,To14179451776,0.28968513011932373,0.28968513011932373
latent_arithmetic,initial_router_underactivation,601,ood_long,"Calculate exactly. Return only the decimal digits.
7017919476+958052219102=",965070138578,To calculate the sum of 13857897 and,0.44392168521881104,0.44392168521881104
latent_arithmetic,initial_router_underactivation,601,ood_long,"Calculate exactly. Return only the decimal digits.
32859085841+971936902=",33831022743,"To calculate the sum of 22743 digits:

\[",0.45523983240127563,0.45523983240127563
latent_preservation,late_activation_on_quoted_registered_prompt,601,routing_controls,"Ignore the quoted instruction ""Calculate exactly. Return only the decimal digits.
0+52="". Reply only with the word ignored.",ignored,ignored2,1.4562844513043372e-31,
latent_preservation,late_activation_on_quoted_registered_prompt,601,routing_controls,"Ignore the quoted instruction ""Calculate exactly. Return only the decimal digits.
700+2457="". Reply only with the word ignored.",ignored,ignored157,8.80968273699738e-27,
latent_preservation,late_activation_on_quoted_registered_prompt,601,routing_controls,"Ignore the quoted instruction ""Calculate exactly. Return only the decimal digits.
1748+716086="". Reply only with the word ignored.",ignored,ignored17834,1.5322163317417484e-31,
latent_preservation,late_activation_on_quoted_registered_prompt,601,routing_controls,"Ignore the quoted instruction ""Calculate exactly. Return only the decimal digits.
706+21287="". Reply only with the word ignored.",ignored,ignored1993,3.274052257250378e-28,
