a,b,correct,expected,max_operand_digits,model,predicted,seed,split
59857800143,787781690948,False,847639491091,12,baseline,888881818181818,101,ood_primary
19786325,365878218704,False,365898005029,12,baseline,3,101,ood_primary
95416454,684448477091,False,684543893545,12,baseline,4,101,ood_primary
25182743,430703393959,False,430728576702,12,baseline,7,101,ood_primary
37365911,332850068440,False,332887434351,12,baseline,5,101,ood_primary
90913336,570158882773,False,570249796109,12,baseline,8,101,ood_primary
87496914,346958351618,False,347045848532,12,baseline,6,101,ood_primary
36707426,389718163612,False,389754871038,12,baseline,2,101,ood_primary
36457555,731682631986,False,731719089541,12,baseline,5,101,ood_primary
10993113,865157237165,False,865168230278,12,baseline,1,101,ood_primary
13534702,258135034292,False,258148568994,12,baseline,,101,ood_primary
67915880,451731102175,False,451799018055,12,baseline,8,101,ood_primary
68099016,150871323496,False,150939422512,12,baseline,8,101,ood_primary
99791812,564247255161,False,564347046973,12,baseline,8,101,ood_primary
96061412,796231072197,False,796327133609,12,baseline,3,101,ood_primary
85719728,441464022588,False,441549742316,12,baseline,8,101,ood_primary
44287091,630891735005,False,630936022096,12,baseline,9,101,ood_primary
57980038,492040024252,False,492098004290,12,baseline,3,101,ood_primary
18210935,879914627289,False,879932838224,12,baseline,3,101,ood_primary
71172893,103999589911,False,104070762804,12,baseline,9,101,ood_primary
86144973,848373376532,False,848459521505,12,baseline,8,101,ood_primary
17452565,317239426115,False,317256878680,12,baseline,5,101,ood_primary
46918160,706155740093,False,706202658253,12,baseline,5,101,ood_primary
25785099,551215950011,False,551241735110,12,baseline,9,101,ood_primary
87813422,845208889040,False,845296702462,12,baseline,3,101,ood_primary
47939056,196680415109,False,196728354165,12,baseline,5,101,ood_primary
69366891,839725643110,False,839795010001,12,baseline,8,101,ood_primary
44937330,718211152410,False,718256089740,12,baseline,3,101,ood_primary
3380806,9378656,False,12759462,7,baseline,128671,101,ood_primary
5657200,2345653,False,8002853,7,baseline,89176,101,ood_primary
3042769,1939557,False,4982326,7,baseline,146724,101,ood_primary
9230333,7082066,False,16312399,7,baseline,148549,101,ood_primary
4564112,5758116,False,10322228,7,baseline,140933,101,ood_primary
3295481,6204483,False,9499964,7,baseline,915929,101,ood_primary
3347323,3100381,False,6447704,7,baseline,657455,101,ood_primary
8086484,4218461,False,12304945,7,baseline,10832,101,ood_primary
5290544,9861783,False,15152327,7,baseline,187722,101,ood_primary
1167855,6005690,False,7173545,7,baseline,178415,101,ood_primary
2847704,6573387,False,9421091,7,baseline,10504,101,ood_primary
8431784,4484523,False,12916307,7,baseline,18023,101,ood_primary
6869445,9815041,False,16684486,7,baseline,150955,101,ood_primary
9918810,6344211,False,16263021,7,baseline,15352,101,ood_primary
3701459,1104721,False,4806180,7,baseline,91292,101,ood_primary
1827560,6115078,False,7942638,7,baseline,849157,101,ood_primary
2845551,7620994,False,10466545,7,baseline,107650,101,ood_primary
1727997,3984755,False,5712752,7,baseline,12646,101,ood_primary
9944656,3685607,False,13630263,7,baseline,113216,101,ood_primary
2143080,4197168,False,6340248,7,baseline,16289,101,ood_primary
9442000,8016455,False,17458455,7,baseline,143645,101,ood_primary
3804611,1909895,False,5714506,7,baseline,105600,101,ood_primary
8110660,5248809,False,13359469,7,baseline,135540,101,ood_primary
4926066,8225427,False,13151493,7,baseline,148608,101,ood_primary
1651728,6427090,False,8078818,7,baseline,194407,101,ood_primary
6928899,4662347,False,11591246,7,baseline,19502,101,ood_primary
7430799,6006035,False,13436834,7,baseline,16149,101,ood_primary
7895691,2120703,False,10016394,7,baseline,14776,101,ood_primary
7216872,9158690,False,16375562,7,baseline,132750,101,ood_primary
4535000,9461415,False,13996415,7,baseline,18114,101,ood_primary
1609791,2819583,False,4429374,7,baseline,19174,101,ood_primary
8242428,5449881,False,13692309,7,baseline,187406,101,ood_primary
6028976,3597547,False,9626523,7,baseline,18803,101,ood_primary
1475862,7164296,False,8640158,7,baseline,99139,101,ood_primary
177595494,1955358,False,179550852,9,baseline,609,101,ood_primary
946314011,5734779,False,952048790,9,baseline,77,101,ood_primary
194233866,8988161,False,203222027,9,baseline,20,101,ood_primary
636480825,7087084,False,643567909,9,baseline,88,101,ood_primary
558581087,1732769,False,560313856,9,baseline,33,101,ood_primary
264568645,2956592,False,267525237,9,baseline,73,101,ood_primary
635847969,9470466,False,645318435,9,baseline,14,101,ood_primary
351666126,9580648,False,361246774,9,baseline,69,101,ood_primary
207267129,8596677,False,215863806,9,baseline,90,101,ood_primary
710380775,2730802,False,713111577,9,baseline,37,101,ood_primary
322877223,7231683,False,330108906,9,baseline,152,101,ood_primary
470691117,7112265,False,477803382,9,baseline,323,101,ood_primary
866131245,2668383,False,868799628,9,baseline,88,101,ood_primary
471408337,4757467,False,476165804,9,baseline,32,101,ood_primary
431363934,2684728,False,434048662,9,baseline,22,101,ood_primary
180978118,9395170,False,190373288,9,baseline,80,101,ood_primary
798919412,1498593,False,800418005,9,baseline,102,101,ood_primary
475080445,4309052,False,479389497,9,baseline,90,101,ood_primary
940749415,2257421,False,943006836,9,baseline,159,101,ood_primary
882842666,2742030,False,885584696,9,baseline,798,101,ood_primary
382913735,9281755,False,392195490,9,baseline,11,101,ood_primary
956921204,9668858,False,966590062,9,baseline,88,101,ood_primary
499689226,6998563,False,506687789,9,baseline,100,101,ood_primary
372715618,9515491,False,382231109,9,baseline,66,101,ood_primary
852409104,1045744,False,853454848,9,baseline,43,101,ood_primary
801580905,7171428,False,808752333,9,baseline,77,101,ood_primary
186845379,1827670,False,188673049,9,baseline,25,101,ood_primary
419620981,4945968,False,424566949,9,baseline,659,101,ood_primary
437144267,3546761,False,440691028,9,baseline,89,101,ood_primary
174913402,5801506,False,180714908,9,baseline,34,101,ood_primary
191854487,2237339,False,194091826,9,baseline,371,101,ood_primary
584082768,3506904,False,587589672,9,baseline,82,101,ood_primary
503618378,3847103,False,507465481,9,baseline,221,101,ood_primary
410393040,8123223,False,418516263,9,baseline,552,101,ood_primary
845792745,3366331,False,849159076,9,baseline,99,101,ood_primary
197584857,8890550,False,206475407,9,baseline,38,101,ood_primary
826102729,987530657085,False,988356759814,12,baseline,22222222222222,101,ood_primary
815003153,137463621352,False,138278624505,12,baseline,31710171717101,101,ood_primary
873455344,477036623416,False,477910078760,12,baseline,50303030303011,101,ood_primary
456308618,928936843277,False,929393151895,12,baseline,8899909,101,ood_primary
619682087,700208325884,False,700828007971,12,baseline,20000,101,ood_primary
944761179,655946288057,False,656891049236,12,baseline,91016060606001,101,ood_primary
170840672,690691848459,False,690862689131,12,baseline,66060666060060,101,ood_primary
762266574,154731854735,False,155494121309,12,baseline,81210210102101,101,ood_primary
476186304,169356919235,False,169833105539,12,baseline,33333333382322,101,ood_primary
541507183,360467098630,False,361008605813,12,baseline,11111111111111,101,ood_primary
114049387,520835805268,False,520949854655,12,baseline,81211232211112,101,ood_primary
996476896,526201649319,False,527198126215,12,baseline,20808080808090,101,ood_primary
988904533,623777789554,False,624766694087,12,baseline,81848181818111,101,ood_primary
740008957,639578803664,False,640318812621,12,baseline,9,101,ood_primary
670001913,807574904994,False,808244906907,12,baseline,59292000033221,101,ood_primary
461708715,986569043879,False,987030752594,12,baseline,81222222222222,101,ood_primary
629464756,248494140224,False,249123604980,12,baseline,42222121212212,101,ood_primary
900059456,247208922930,False,248108982386,12,baseline,32282222222222,101,ood_primary
728173156,703576975426,False,704305148582,12,baseline,22535453572333,101,ood_primary
681651870,492383193444,False,493064845314,12,baseline,21090910910910,101,ood_primary
130252655,944544444393,False,944674697048,12,baseline,2,101,ood_primary
479261121,830073405209,False,830552666330,12,baseline,11111111111111,101,ood_primary
513971399,893271863024,False,893785834423,12,baseline,35666668366633,101,ood_primary
437571562,523376032139,False,523813603701,12,baseline,58553888888831,101,ood_primary
27067628,475131939,False,502199567,9,baseline,6,101,ood_primary
33067511,427064743,False,460132254,9,baseline,1,101,ood_primary
29966490,574878596,False,604845086,9,baseline,8,101,ood_primary
96334707,499204729,False,595539436,9,baseline,7,101,ood_primary
34046286,498434208,False,532480494,9,baseline,3,101,ood_primary
74791863,158859690,False,233651553,9,baseline,8,101,ood_primary
59695742,898311068,False,958006810,9,baseline,7,101,ood_primary
14303691,653469975,False,667773666,9,baseline,8,101,ood_primary
59884019,665734016,False,725618035,9,baseline,7,101,ood_primary
28287455,439518016,False,467805471,9,baseline,5,101,ood_primary
44649412,847636968,False,892286380,9,baseline,1,101,ood_primary
11851309,237220304,False,249071613,9,baseline,5,101,ood_primary
66814912,244079708,False,310894620,9,baseline,9,101,ood_primary
34367589,814924245,False,849291834,9,baseline,6,101,ood_primary
27285146,808641457,False,835926603,9,baseline,5,101,ood_primary
84840692,525560924,False,610401616,9,baseline,2,101,ood_primary
68747955,264940779,False,333688734,9,baseline,1,101,ood_primary
32870206,253706288,False,286576494,9,baseline,2,101,ood_primary
50725875,264800404,False,315526279,9,baseline,8,101,ood_primary
94548552,382866844,False,477415396,9,baseline,6,101,ood_primary
29762656,290917853,False,320680509,9,baseline,1,101,ood_primary
62029980,907385949,False,969415929,9,baseline,9,101,ood_primary
77565279,985314594,False,1062879873,9,baseline,2,101,ood_primary
